Type,Model,GPU,Run,Metric,Value,Source
API,llama-3.1-8b-instant,N/A,24,Distance,0.0,llama_api
API,llama-3.1-8b-instant,N/A,25,Distance,0.0,llama_api
API,llama-3.1-8b-instant,N/A,26,Distance,0.0,llama_api
API,llama-3.1-8b-instant,N/A,27,Distance,0.0,llama_api
API,llama-3.1-8b-instant,N/A,28,Distance,0.0,llama_api
API,llama-3.1-8b-instant,N/A,29,Distance,0.0,llama_api
API,llama-3.1-8b-instant,N/A,30,Distance,0.0,llama_api
API,llama-3.1-8b-instant,N/A,1,Energy,0.0,llama_api
API,llama-3.1-8b-instant,N/A,2,Energy,0.0,llama_api
API,llama-3.1-8b-instant,N/A,3,Energy,0.0,llama_api
API,llama-3.1-8b-instant,N/A,4,Energy,0.0,llama_api
API,llama-3.1-8b-instant,N/A,5,Energy,0.0,llama_api
API,llama-3.1-8b-instant,N/A,6,Energy,0.0,llama_api
API,llama-3.1-8b-instant,N/A,7,Energy,0.0,llama_api
API,llama-3.1-8b-instant,N/A,8,Energy,0.0,llama_api
API,llama-3.1-8b-instant,N/A,9,Energy,0.0,llama_api
API,llama-3.1-8b-instant,N/A,10,Energy,0.0,llama_api
API,llama-3.1-8b-instant,N/A,11,Energy,0.0,llama_api
API,llama-3.1-8b-instant,N/A,12,Energy,0.0,llama_api
API,llama-3.1-8b-instant,N/A,13,Energy,0.0,llama_api
API,llama-3.1-8b-instant,N/A,14,Energy,0.0,llama_api
API,llama-3.1-8b-instant,N/A,15,Energy,0.0,llama_api
API,llama-3.1-8b-instant,N/A,16,Energy,0.0,llama_api
API,llama-3.1-8b-instant,N/A,17,Energy,0.0,llama_api
API,llama-3.1-8b-instant,N/A,18,Energy,0.0,llama_api
API,llama-3.1-8b-instant,N/A,19,Energy,0.0,llama_api
API,llama-3.1-8b-instant,N/A,20,Energy,0.0,llama_api
API,llama-3.1-8b-instant,N/A,21,Energy,0.0,llama_api
API,llama-3.1-8b-instant,N/A,22,Energy,0.0,llama_api
API,llama-3.1-8b-instant,N/A,23,Energy,0.0,llama_api
API,llama-3.1-8b-instant,N/A,24,Energy,0.0,llama_api
API,llama-3.1-8b-instant,N/A,25,Energy,0.0,llama_api
API,llama-3.1-8b-instant,N/A,26,Energy,0.0,llama_api
API,llama-3.1-8b-instant,N/A,27,Energy,0.0,llama_api
API,llama-3.1-8b-instant,N/A,28,Energy,0.0,llama_api
API,llama-3.1-8b-instant,N/A,29,Energy,0.0,llama_api
API,llama-3.1-8b-instant,N/A,30,Energy,0.0,llama_api
API,llama-3.1-8b-instant,N/A,1,Time,00:05:46,llama_api
API,llama-3.1-8b-instant,N/A,2,Time,00:05:47,llama_api
API,llama-3.1-8b-instant,N/A,3,Time,00:05:42,llama_api
API,llama-3.1-8b-instant,N/A,4,Time,00:05:58,llama_api
API,llama-3.1-8b-instant,N/A,5,Time,00:05:38,llama_api
API,llama-3.1-8b-instant,N/A,6,Time,00:40:50,llama_api
API,llama-3.1-8b-instant,N/A,7,Time,00:44:45,llama_api
API,llama-3.1-8b-instant,N/A,8,Time,00:46:33,llama_api
API,llama-3.1-8b-instant,N/A,9,Time,00:43:48,llama_api
API,llama-3.1-8b-instant,N/A,10,Time,00:40:39,llama_api
API,llama-3.1-8b-instant,N/A,11,Time,00:07:47,llama_api
API,llama-3.1-8b-instant,N/A,12,Time,00:07:01,llama_api
API,llama-3.1-8b-instant,N/A,13,Time,00:05:43,llama_api
API,llama-3.1-8b-instant,N/A,14,Time,00:09:16,llama_api
API,llama-3.1-8b-instant,N/A,15,Time,00:35:37,llama_api
API,llama-3.1-8b-instant,N/A,16,Time,00:35:38,llama_api
API,llama-3.1-8b-instant,N/A,17,Time,00:35:44,llama_api
API,llama-3.1-8b-instant,N/A,18,Time,00:35:41,llama_api
API,llama-3.1-8b-instant,N/A,19,Time,00:35:31,llama_api
API,llama-3.1-8b-instant,N/A,20,Time,00:35:30,llama_api
API,llama-3.1-8b-instant,N/A,21,Time,00:05:47,llama_api
API,llama-3.1-8b-instant,N/A,22,Time,00:05:41,llama_api
API,llama-3.1-8b-instant,N/A,23,Time,00:20:15,llama_api
API,llama-3.1-8b-instant,N/A,24,Time,00:32:16,llama_api
API,llama-3.1-8b-instant,N/A,25,Time,00:33:21,llama_api
API,llama-3.1-8b-instant,N/A,26,Time,00:33:15,llama_api
API,llama-3.1-8b-instant,N/A,27,Time,00:31:48,llama_api
API,llama-3.1-8b-instant,N/A,28,Time,00:42:13,llama_api
API,llama-3.1-8b-instant,N/A,29,Time,00:39:28,llama_api
API,llama-3.1-8b-instant,N/A,30,Time,00:33:27,llama_api
Local,Llama-3.1-8B,H100,1,CO2eq,172.813231,local_llama
Local,Llama-3.1-8B,H100,2,CO2eq,173.945167,local_llama
Local,Llama-3.1-8B,H100,3,CO2eq,195.244559,local_llama
Local,Llama-3.1-8B,H100,4,CO2eq,203.469731,local_llama
Local,Llama-3.1-8B,H100,5,CO2eq,184.027016,local_llama
Local,Llama-3.1-8B,H100,6,CO2eq,195.334424,local_llama
Local,Llama-3.1-8B,H100,7,CO2eq,211.311521,local_llama
Local,Llama-3.1-8B,H100,8,CO2eq,174.105113,local_llama
Local,Llama-3.1-8B,H100,9,CO2eq,173.159998,local_llama
Local,Llama-3.1-8B,H100,10,CO2eq,254.611602,local_llama
Local,Llama-3.1-8B,H100,1,Distance,1.607565,local_llama
Local,Llama-3.1-8B,H100,2,Distance,1.618095,local_llama
Local,Llama-3.1-8B,H100,3,Distance,1.816228,local_llama
Local,Llama-3.1-8B,H100,4,Distance,1.892742,local_llama
Local,Llama-3.1-8B,H100,5,Distance,1.711879,local_llama
Local,Llama-3.1-8B,H100,6,Distance,1.817064,local_llama
Local,Llama-3.1-8B,H100,7,Distance,1.965689,local_llama
Local,Llama-3.1-8B,H100,8,Distance,1.619582,local_llama
Local,Llama-3.1-8B,H100,9,Distance,1.610791,local_llama
Local,Llama-3.1-8B,H100,10,Distance,2.36848,local_llama
Local,Llama-3.1-8B,H100,1,Energy,0.453637,local_llama
Local,Llama-3.1-8B,H100,2,Energy,0.456608,local_llama
Local,Llama-3.1-8B,H100,3,Energy,0.51252,local_llama
Local,Llama-3.1-8B,H100,4,Energy,0.534111,local_llama
Local,Llama-3.1-8B,H100,5,Energy,0.483073,local_llama
Local,Llama-3.1-8B,H100,6,Energy,0.512755,local_llama
Local,Llama-3.1-8B,H100,7,Energy,0.554696,local_llama
Local,Llama-3.1-8B,H100,8,Energy,0.457028,local_llama
Local,Llama-3.1-8B,H100,9,Energy,0.454547,local_llama
Local,Llama-3.1-8B,H100,10,Energy,0.668359,local_llama
Local,Llama-3.1-8B,H100,1,Time,00:34:55,local_llama
Local,Llama-3.1-8B,H100,2,Time,00:33:51,local_llama
Local,Llama-3.1-8B,H100,3,Time,00:38:48,local_llama
Local,Llama-3.1-8B,H100,4,Time,00:41:54,local_llama
Local,Llama-3.1-8B,H100,5,Time,00:36:55,local_llama
Local,Llama-3.1-8B,H100,6,Time,00:36:41,local_llama
Local,Llama-3.1-8B,H100,7,Time,00:42:22,local_llama
Local,Llama-3.1-8B,H100,8,Time,00:35:37,local_llama
Local,Llama-3.1-8B,H100,9,Time,00:35:11,local_llama
Local,Llama-3.1-8B,H100,10,Time,00:50:47,local_llama
Local,Llama-3.1-8B,H100-PCI,1,CO2eq,147.978712,local_llama
Local,Llama-3.1-8B,H100-PCI,2,CO2eq,138.005788,local_llama
Local,Llama-3.1-8B,H100-PCI,3,CO2eq,160.385244,local_llama
Local,Llama-3.1-8B,H100-PCI,4,CO2eq,173.051238,local_llama
Local,Llama-3.1-8B,H100-PCI,5,CO2eq,145.537294,local_llama
Local,Llama-3.1-8B,H100-PCI,6,CO2eq,155.542452,local_llama
Local,Llama-3.1-8B,H100-PCI,7,CO2eq,173.35019,local_llama
Local,Llama-3.1-8B,H100-PCI,8,CO2eq,146.267217,local_llama
Local,Llama-3.1-8B,H100-PCI,9,CO2eq,150.823979,local_llama
Local,Llama-3.1-8B,H100-PCI,10,CO2eq,212.07735,local_llama
Local,Llama-3.1-8B,H100-PCI,1,Distance,1.376546,local_llama
Local,Llama-3.1-8B,H100-PCI,2,Distance,1.283775,local_llama
Local,Llama-3.1-8B,H100-PCI,3,Distance,1.491956,local_llama
Local,Llama-3.1-8B,H100-PCI,4,Distance,1.609779,local_llama
Local,Llama-3.1-8B,H100-PCI,5,Distance,1.353835,local_llama
Local,Llama-3.1-8B,H100-PCI,6,Distance,1.446907,local_llama
Local,Llama-3.1-8B,H100-PCI,7,Distance,1.61256,local_llama
Local,Llama-3.1-8B,H100-PCI,8,Distance,1.360625,local_llama
Local,Llama-3.1-8B,H100-PCI,9,Distance,1.403014,local_llama
Local,Llama-3.1-8B,H100-PCI,10,Distance,1.972813,local_llama
Local,Llama-3.1-8B,H100-PCI,1,Energy,0.388446,local_llama
Local,Llama-3.1-8B,H100-PCI,2,Energy,0.362267,local_llama
Local,Llama-3.1-8B,H100-PCI,3,Energy,0.421013,local_llama
Local,Llama-3.1-8B,H100-PCI,4,Energy,0.454262,local_llama
Local,Llama-3.1-8B,H100-PCI,5,Energy,0.382037,local_llama
Local,Llama-3.1-8B,H100-PCI,6,Energy,0.408301,local_llama
Local,Llama-3.1-8B,H100-PCI,7,Energy,0.455047,local_llama
Local,Llama-3.1-8B,H100-PCI,8,Energy,0.383953,local_llama
Local,Llama-3.1-8B,H100-PCI,9,Energy,0.395915,local_llama
Local,Llama-3.1-8B,H100-PCI,10,Energy,0.556706,local_llama
Local,Llama-3.1-8B,H100-PCI,1,Time,00:39:01,local_llama
Local,Llama-3.1-8B,H100-PCI,2,Time,00:36:43,local_llama
Local,Llama-3.1-8B,H100-PCI,3,Time,00:42:35,local_llama
Local,Llama-3.1-8B,H100-PCI,4,Time,00:46:32,local_llama
Local,Llama-3.1-8B,H100-PCI,5,Time,00:40:00,local_llama
Local,Llama-3.1-8B,H100-PCI,6,Time,00:40:52,local_llama
Local,Llama-3.1-8B,H100-PCI,7,Time,00:46:04,local_llama
Local,Llama-3.1-8B,H100-PCI,8,Time,00:38:47,local_llama
Local,Llama-3.1-8B,H100-PCI,9,Time,00:39:27,local_llama
Local,Llama-3.1-8B,H100-PCI,10,Time,00:56:21,local_llama
Local,Llama-3.1-8B,H200,1,CO2eq,174.876924,local_llama
Local,Llama-3.1-8B,H200,2,CO2eq,164.668881,local_llama
Local,Llama-3.1-8B,H200,3,CO2eq,188.103166,local_llama
Local,Llama-3.1-8B,H200,4,CO2eq,201.726084,local_llama
Local,Llama-3.1-8B,H200,5,CO2eq,168.713825,local_llama
Local,Llama-3.1-8B,H200,6,CO2eq,178.517328,local_llama
Local,Llama-3.1-8B,H200,7,CO2eq,204.253134,local_llama
Local,Llama-3.1-8B,H200,8,CO2eq,175.044445,local_llama
Local,Llama-3.1-8B,H200,9,CO2eq,170.823804,local_llama
Local,Llama-3.1-8B,H200,10,CO2eq,246.113521,local_llama
Local,Llama-3.1-8B,H200,1,Distance,1.626762,local_llama
Local,Llama-3.1-8B,H200,2,Distance,1.531804,local_llama
Local,Llama-3.1-8B,H200,3,Distance,1.749797,local_llama
Local,Llama-3.1-8B,H200,4,Distance,1.876522,local_llama
Local,Llama-3.1-8B,H200,5,Distance,1.569431,local_llama
Local,Llama-3.1-8B,H200,6,Distance,1.660626,local_llama
Local,Llama-3.1-8B,H200,7,Distance,1.900029,local_llama
Local,Llama-3.1-8B,H200,8,Distance,1.62832,local_llama
Local,Llama-3.1-8B,H200,9,Distance,1.589059,local_llama
Local,Llama-3.1-8B,H200,10,Distance,2.289428,local_llama
Local,Llama-3.1-8B,H200,1,Energy,0.459054,local_llama
Local,Llama-3.1-8B,H200,2,Energy,0.432258,local_llama
Local,Llama-3.1-8B,H200,3,Energy,0.493773,local_llama
Local,Llama-3.1-8B,H200,4,Energy,0.529534,local_llama
Local,Llama-3.1-8B,H200,5,Energy,0.442876,local_llama
Local,Llama-3.1-8B,H200,6,Energy,0.46861,local_llama
Local,Llama-3.1-8B,H200,7,Energy,0.536167,local_llama
Local,Llama-3.1-8B,H200,8,Energy,0.459494,local_llama
Local,Llama-3.1-8B,H200,9,Energy,0.448415,local_llama
Local,Llama-3.1-8B,H200,10,Energy,0.646051,local_llama
Local,Llama-3.1-8B,H200,1,Time,00:33:17,local_llama
Local,Llama-3.1-8B,H200,2,Time,00:31:56,local_llama
Local,Llama-3.1-8B,H200,3,Time,00:36:37,local_llama
Local,Llama-3.1-8B,H200,4,Time,00:39:51,local_llama
Local,Llama-3.1-8B,H200,5,Time,00:34:43,local_llama
Local,Llama-3.1-8B,H200,6,Time,00:34:48,local_llama
Local,Llama-3.1-8B,H200,7,Time,00:39:23,local_llama
Local,Llama-3.1-8B,H200,8,Time,00:33:43,local_llama
Local,Llama-3.1-8B,H200,9,Time,00:33:44,local_llama
Local,Llama-3.1-8B,H200,10,Time,00:49:09,local_llama
Local,Mistral-7B-Instruct-v0.3,A100-40GB,1,CO2eq,117.628141,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-40GB,2,CO2eq,114.876178,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-40GB,3,CO2eq,115.74179,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-40GB,4,CO2eq,112.923905,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-40GB,5,CO2eq,119.295413,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-40GB,6,CO2eq,113.129228,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-40GB,7,CO2eq,115.723467,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-40GB,8,CO2eq,115.072616,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-40GB,9,CO2eq,111.614164,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-40GB,10,CO2eq,118.47282,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-40GB,1,Distance,1.094215,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-40GB,2,Distance,1.068616,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-40GB,3,Distance,1.076668,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-40GB,4,Distance,1.050455,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-40GB,5,Distance,1.109725,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-40GB,6,Distance,1.052365,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-40GB,7,Distance,1.076497,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-40GB,8,Distance,1.070443,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-40GB,9,Distance,1.038271,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-40GB,10,Distance,1.102073,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-40GB,1,Energy,0.308775,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-40GB,2,Energy,0.301551,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-40GB,3,Energy,0.303824,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-40GB,4,Energy,0.296427,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-40GB,5,Energy,0.313152,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-40GB,6,Energy,0.296966,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-40GB,7,Energy,0.303776,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-40GB,8,Energy,0.302067,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-40GB,9,Energy,0.292989,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-40GB,10,Energy,0.310993,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-40GB,1,Time,00:40:55,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-40GB,2,Time,00:40:47,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-40GB,3,Time,00:40:54,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-40GB,4,Time,00:40:51,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-40GB,5,Time,00:40:38,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-40GB,6,Time,00:40:48,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-40GB,7,Time,00:40:49,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-40GB,8,Time,00:40:58,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-40GB,9,Time,00:40:38,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-40GB,10,Time,00:40:30,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-80GB,1,CO2eq,120.202915,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-80GB,2,CO2eq,126.544969,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-80GB,3,CO2eq,117.99133,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-80GB,4,CO2eq,119.650661,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-80GB,5,CO2eq,119.07347,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-80GB,6,CO2eq,117.619162,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-80GB,7,CO2eq,119.409331,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-80GB,8,CO2eq,118.510805,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-80GB,9,CO2eq,118.868851,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-80GB,10,CO2eq,118.049054,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-80GB,1,Distance,1.118167,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-80GB,2,Distance,1.177163,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-80GB,3,Distance,1.097594,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-80GB,4,Distance,1.113029,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-80GB,5,Distance,1.10766,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-80GB,6,Distance,1.094132,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-80GB,7,Distance,1.110784,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-80GB,8,Distance,1.102426,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-80GB,9,Distance,1.105757,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-80GB,10,Distance,1.098131,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-80GB,1,Energy,0.315534,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-80GB,2,Energy,0.332182,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-80GB,3,Energy,0.309729,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-80GB,4,Energy,0.314085,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-80GB,5,Energy,0.312569,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-80GB,6,Energy,0.308752,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-80GB,7,Energy,0.313451,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-80GB,8,Energy,0.311092,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-80GB,9,Energy,0.312032,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-80GB,10,Energy,0.30988,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-80GB,1,Time,00:38:31,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-80GB,2,Time,00:38:33,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-80GB,3,Time,00:38:11,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-80GB,4,Time,00:38:33,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-80GB,5,Time,00:38:34,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-80GB,6,Time,00:38:14,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-80GB,7,Time,00:38:30,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-80GB,8,Time,00:38:34,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-80GB,9,Time,00:38:27,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-80GB,10,Time,00:38:31,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-PCI,1,CO2eq,102.753395,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-PCI,2,CO2eq,103.646479,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-PCI,3,CO2eq,103.026147,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-PCI,4,CO2eq,104.684856,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-PCI,5,CO2eq,102.778874,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-PCI,6,CO2eq,103.459938,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-PCI,7,CO2eq,102.302054,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-PCI,8,CO2eq,104.173679,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-PCI,9,CO2eq,104.080259,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-PCI,10,CO2eq,103.702095,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-PCI,1,Distance,0.955846,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-PCI,2,Distance,0.964153,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-PCI,3,Distance,0.958383,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-PCI,4,Distance,0.973813,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-PCI,5,Distance,0.956083,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-PCI,6,Distance,0.962418,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-PCI,7,Distance,0.951647,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-PCI,8,Distance,0.969057,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-PCI,9,Distance,0.968188,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-PCI,10,Distance,0.964671,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-PCI,1,Energy,0.269729,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-PCI,2,Energy,0.272073,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-PCI,3,Energy,0.270445,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-PCI,4,Energy,0.274799,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-PCI,5,Energy,0.269796,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-PCI,6,Energy,0.271584,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-PCI,7,Energy,0.268544,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-PCI,8,Energy,0.273457,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-PCI,9,Energy,0.273212,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-PCI,10,Energy,0.272219,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-PCI,1,Time,00:41:54,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-PCI,2,Time,00:42:05,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-PCI,3,Time,00:42:06,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-PCI,4,Time,00:42:29,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-PCI,5,Time,00:41:54,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-PCI,6,Time,00:42:08,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-PCI,7,Time,00:41:36,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-PCI,8,Time,00:42:13,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-PCI,9,Time,00:42:19,local_mistral
Local,Mistral-7B-Instruct-v0.3,A100-PCI,10,Time,00:42:10,local_mistral
Local,Mistral-7B-Instruct-v0.3,H100,1,CO2eq,133.236759,local_mistral
Local,Mistral-7B-Instruct-v0.3,H100,2,CO2eq,130.28083,local_mistral
Local,Mistral-7B-Instruct-v0.3,H100,3,CO2eq,134.977399,local_mistral
